mid,company_id
862,3
8844,559
8844,10201
8844,2550
15602,19464
15602,174
31357,25
11862,9195
11862,5842
949,508
949,675
949,174
11860,55873
11860,4
11860,932
45325,2
45325,134923
9091,99689
9091,33
9091,21437
710,7576
710,60
9087,5
9087,97
9087,316
12110,97
12110,6368
12110,5
21032,56
21032,4105
21032,33
10858,1504
10858,915
1408,183
1408,415
1408,21
524,33
524,11583
524,10898
4584,932
4584,5
5,14
5,59
9273,10210
9273,174
11517,5
8012,216
8012,21
1710,10104
1710,508
9691,10308
9691,1885
9691,25061
12665,915
12665,175
451,15547
451,60
451,25129
16420,97
16420,5
9263,12
17015,288
902,25020
902,590
902,592
37557,4507
37557,16366
37557,581
9909,10288
9909,915
9909,10103
63,33
63,507
63,17031
9598,33
9598,2537
687,406
687,1382
687,10163
33689,6130
33689,89131
33689,11661
9603,4
34615,89840
34615,85681
34615,14
31174,34237
31174,871
11443,175
11443,476
11443,915
35196,14
9312,12
9312,4174
577,364
577,5
11861,33
11861,56
807,12
807,4286
807,65393
10530,6125
10530,2
8391,2480
629,9168
629,361
11448,1030
11448,14
26441,175
26441,2
97406,14
97406,105
9089,802
9089,4
9089,1382
11010,108005
11010,119744
11010,8209
11359,4
11359,862
11359,5
17182,4
2054,915
2054,10201
2054,1382
10607,5441
10607,14
10607,3492
19760,10210
19760,174
9536,38003
9536,21
9536,787
11525,12
4482,1614
4482,82
4482,104
10634,12
755,11705
755,59
755,7405
11859,1885
11859,174
28387,5841
28387,5842
28387,35
48750,22123
48750,1742
48750,104
20927,12
20927,4286
36929,10210
36929,174
9102,7958
9102,4899
9102,23096
124626,4606
124626,93174
124626,83201
27526,14
9623,5
46785,38953
46785,38954
400,14
880,575
880,576
880,577
146599,38196
146599,38197
8447,2492
8447,798
10534,915
10534,1644
10534,1645
17414,3311
17414,25
13997,4
2086,4
9095,18737
9095,559
12158,4
9283,979
9283,14
9208,456
9208,25
9208,1557
40154,75942
40154,97
406,22684
406,16366
406,5869
63076,3324
63076,12113
63076,12911
11062,5
11062,97
13685,96081
13685,18
13685,9350
47475,9195
2045,10308
2045,10355
2045,21
9614,33
9614,1606
9614,3929
688,56
688,171
688,174
10874,2
10874,2504
10874,6254
197,4564
197,7965
197,11353
103,46059
103,46060
103,5
33542,2521
43566,915
43566,175
16934,3236
16934,850
16934,12745
10324,559
10324,2090
78406,11308
78406,2377
32119,19701
32119,12113
32119,806
11066,4
11104,540
2074,14
27793,264
27793,1766
27793,1979
11863,4
11863,94856
9101,25
5757,
9302,1504
9302,9195
11000,60
16388,43
9737,5
9737,10288
9737,34
30765,174
30765,3592
30765,36854
10474,12
10474,3492
22279,8
22279,12745
22279,16027
30157,3644
30157,181
30157,3906
568,23
568,33
568,7799
11780,8989
11780,60
34996,236
34996,5353
34996,1214
414,429
414,174
414,9993
649,386
649,387
649,11290
1873,97
1873,5
5894,30334
5894,14
1775,1382
1775,278
1775,903
8839,11098
8839,33
8839,56
20649,4319
20649,33
10329,4
10329,862
8963,915
8963,10288
26564,4532
8068,11705
8068,5
8068,34
8512,2510
8512,559
8512,1274
1572,1504
1572,25
13552,2765
13552,18902
13552,1474
6520,10158
6520,5
9073,644
9073,5739
9073,508
10428,87394
10428,60
17447,12909
17447,12910
9886,559
9886,2480
9482,1504
9482,915
19326,559
9344,14
9344,10603
9344,25679
9071,13187
9071,13190
8973,60
8973,3557
15730,4350
15730,2267
15730,7828
47608,9195
2293,33
2293,37
2293,11462
9070,2106
9070,25
9070,5822
48787,16561
48787,38959
48787,38960
34574,37897
1642,5
11472,436
11472,25
36196,37890
11980,888
11980,7405
11980,86906
58372,3906
58372,2492
58372,798
32646,3906
32646,1422
32646,39861
10533,1504
10533,915
10802,183
10802,60
10802,275
10149,14
18402,16368
18402,705
18402,174
9348,21
281,574
281,25
5967,14680
5967,1147
5967,1080
47939,11308
47939,11661
36834,16026
36834,16027
36834,6849
9090,56
9090,33
3512,508
3512,17825
3512,63906
52856,915
77350,
9560,2851
9560,25
9804,1073
9804,1302
9804,33
31611,11661
31611,3268
31611,59
65796,60
49805,4
26258,25
50797,6454
50797,104
50797,3467
19155,12745
19155,6367
76,97
76,104576
76,5
11017,6365
37141,18189
9382,508
9382,644
9382,16192
6715,33
6715,1595
18256,4867
22625,364
22625,1898
22625,4127
2292,16934
2292,14
1909,70
1909,12
1909,4286
8984,11407
8984,174
4954,4
62488,11661
62488,11308
10531,8
10531,181
10531,826
11929,97
11929,5
8467,12
8467,2090
10451,10565
10451,5528
10451,25345
20156,10166
20156,12800
20156,14
18395,11308
522,9195
397,1382
397,10163
397,34207
10525,97
10525,5
27985,25
15789,3475
15789,5391
15789,2
27303,559
21183,21
10954,37581
10954,2359
10954,1429
47867,86421
47867,97978
14275,8
14275,13042
1024,14
1024,11
1024,294
17207,175
17207,915
13701,5
13701,2630
13701,4564
14819,2
14819,175
32631,11393
32631,33
11777,4
628,360
87729,2370
87729,9195
18713,175
18713,9195
6280,8816
6280,33
9061,36854
9061,414
9061,174
37108,4063
37108,2
6071,25
11,1
11,25
9587,5
19101,174
49980,983
49980,181
18183,84803
18183,84804
4476,348
4476,559
4476,1656
11008,33
11008,139288
32325,36836
32325,181
32325,2832
43742,174
28313,4
11318,798
11318,23022
11318,181
3036,70
3036,559
40490,2
24070,559
8986,862
8986,4
10510,25
17402,915
17402,131354
38722,89873
38722,70
38722,3906
8438,2428
8438,174
11593,594
11593,761
11593,4
1945,802
1945,1382
1945,25
39310,4319
109560,42935
109560,5822
56428,11139
131957,23098
241,68551
241,508
241,644
9058,559
527,293
527,294
527,295
18220,12
18220,17067
18220,17068
6950,824
6950,16775
6950,2154
101,9
101,66743
63020,798
2307,915
680,14
680,59
680,216
25296,5528
25296,25345
40156,1382
40156,288
40156,14
11450,11407
11450,316
11450,915
30304,84839
30304,84840
10452,82
10452,850
10452,6187
12106,559
161495,915
161495,10201
161495,12883
3586,14
110,38
110,183
110,591
108,591
108,1610
109,183
109,591
109,850
36357,
92769,4899
92769,24946
92769,16953
28033,4
28033,457
22586,4108
14334,29272
14334,29273
2636,2596
2636,11134
2636,174
2164,275
2164,347
2164,104
11395,2
11395,915
11395,889
278,97
9905,181
9905,980
9905,359
87078,78701
12527,14
12527,6647
12527,10015
20306,4063
20306,2832
36614,798
27993,12
27993,4733
27993,4734
31439,1078
31439,25299
9067,2231
9059,69626
9059,33
193,4
25066,4319
25066,11308
46797,12745
46797,1930
12122,33
11381,4
32636,
36141,37
36141,14729
95963,37350
95963,11308
95963,23808
1587,4
1587,12474
9271,4
2064,175
2064,915
19855,33
60855,806
60855,36024
60855,8
236,105
236,11840
236,39250
48287,10157
48287,5
48287,1938
3049,10210
3049,174
2759,1382
2759,8725
2759,1381
12635,37
10497,8
10497,355
10497,635
11382,14
9331,4
9331,2767
10731,644
10731,508
10731,174
10464,12
34152,4319
34152,33
9495,7405
9495,14
9495,4028
29973,508
29973,644
29973,16823
888,1353
888,33
888,56
13,4
13,21920
712,1382
712,181
712,10163
16295,1947
16295,5
48992,37294
48992,37295
48992,5
10879,175
10879,9195
10660,559
10714,2
41647,201
41647,181
41647,12914
8587,2
8587,6125
1689,14
11596,12
854,552
854,12
9359,4564
9359,174
23333,8
23333,14
36593,4
12280,23
12280,33
2788,33
2788,216
10427,278
10427,1382
11011,1302
11011,1885
11011,174
8987,496
8987,33
8987,662
1637,25
1637,1557
15128,21
8831,33
8831,467
8831,552
36955,574
36955,25
10449,9195
10395,5
12160,24217
12160,335
12160,13040
40480,9195
40480,21857
52038,2630
52038,288
52038,550
29444,1382
29444,37
26352,175
26352,915
39953,3923
39953,25583
41580,
315,170
22067,1382
11667,7220
11667,33
8011,2662
8011,30655
8011,22240
171857,
2654,12
18069,12
18069,216
19092,12
2758,258
2758,4
2758,41
10436,5
10436,691
13595,3929
13595,1595
13595,25
46094,82606
46094,915
46094,1382
9409,9195
11853,89311
11853,25
16771,16737
16771,97
16771,8
46924,79560
46924,7049
46924,58750
11041,25
306,4
306,30
14522,174
26203,12
178,2231
178,21
19819,4
57834,14150
57834,18070
4722,10098
4722,10099
4722,174
18215,70969
1607,11308
1607,7429
26391,9195
117553,5
117553,1350
6075,33
6075,1988
6075,11393
11310,97
11310,5
18658,21
9350,23246
9350,45728
9350,45729
9612,4
2124,1504
2124,915
26261,559
26261,8812
19176,23
19176,33
11566,5739
11566,8816
11566,174
9571,37
9571,6556
9739,1885
9739,174
34444,104611
26141,21
10997,36863
10997,708
10997,2269
10443,705
10443,174
20239,
16297,705
16297,174
18551,4
18551,705
18551,19534
25440,8
9024,23
9024,33
37233,932
37233,4
37233,1302
1634,104
1634,508
1634,644
13815,14
5503,174
35588,5
2087,33
2087,1644
41579,21
18620,89521
18620,89522
18620,89523
2019,11462
2019,33
2019,467
9255,11751
9255,25
26271,272
26271,1930
26271,10348
10612,14
10612,983
2259,118
2259,705
2259,850
16097,12
11934,1382
11934,1885
11934,10163
106143,18
106143,5
