company_id,company_name,country_id
3,Pixar,US
559,TriStar Pictures,US
10201,Interscope Communications,
2550,Teitler Film,US
19464,Lancaster Gate,
174,Warner Bros. Pictures,US
25,20th Century Fox,US
9195,Touchstone Pictures,US
5842,Sandollar Productions,US
508,Regency Enterprises,US
675,Forward Pass,US
55873,Worldwide,
4,Paramount,US
932,Mirage Enterprises,US
2,Walt Disney Pictures,US
134923,Painted Fence Productions,
99689,SHATTERED PRODUCTIONS,
33,Universal Pictures,US
21437,Imperial Entertainment,
7576,Eon Productions,GB
60,United Artists,US
5,Columbia Pictures,US
97,Castle Rock Entertainment,US
316,Wildwood Enterprises,US
6368,Enigma Pictures,
56,Amblin Entertainment,US
4105,Amblimation,
1504,Cinergi Pictures Entertainment,
915,Hollywood Pictures,US
183,Le Studio Canal+,FR
415,Laurence Mark Productions,US
21,Metro-Goldwyn-Mayer,US
11583,Syalis DA,
10898,Légende Entreprises,
14,Miramax,US
59,A Band Apart,US
10210,Morgan Creek Productions,US
216,Jersey Films,
10104,New Regency Pictures,US
10308,Dino De Laurentiis Company,US
1885,Silver Pictures,US
25061,Evansgideon/Lazar,
175,Caravan Pictures,US
15547,Intial Productions,
25129,Lumière Pictures,
12,New Line Cinema,US
288,BBC Films,GB
25020,Victoires Productions,
590,Constellation Productions,
592,Claudie Ossard Productions,
4507,Alpha Films,
16366,La Sept Cinéma,FR
581,UGC,FR
10288,Don Simpson/Jerry Bruckheimer Films,US
10103,Via Rosa Productions,
507,Atlas Entertainment,US
17031,Classico,
2537,Kennedy Miller Productions,AU
406,Havoc,
1382,PolyGram Filmed Entertainment,US
10163,Working Title Films,GB
6130,Dualstar Productions,
89131,Orr & Cruickshank,
11661,Rysher Entertainment,
89840,Alpine Pty Limited,
85681,Distant Horizon,ZA
34237,Mayfair Entertainment International,
871,British Screen,
476,Underworld Entertainment,
4174,Threshold Entertainment,
364,The Rank Organisation,
4286,Juno Pix,
65393,Cecchi Gori Pictures,
6125,Walt Disney Animation Studios,US
2480,Alliance Communications Corporation,
9168,Bad Hat Harry Productions,US
361,Blue Parrot Productions,
1030,Magnolia Pictures,US
105,CiBy 2000,FR
802,Egg Pictures,
108005,Penta Film,
119744,Esterno Mediterraneo Film,
8209,Blue Dahlia Productions,
862,The Kennedy/Marshall Company,US
5441,Ivory Way Productions,
3492,Island Pictures,GB
38003,Weasel Productions,
787,3 Arts Entertainment,US
1614,Les Films Flam,
82,Renn Productions,
104,Canal+,FR
11705,Los Hooligans Productions,
7405,Dimension Films,US
5841,Castleberg Productions,
35,Lions Gate Films,US
22123,TF1,FR
1742,Les Films 13,FR
7958,Fuji Eight Company Ltd.,
4899,Allegro Films,
23096,Fries Film Group,
4606,ZDF,DE
93174,Bluehorse Films,
83201,Ciak Filmproduktion,
38953,I.R.I.B. Channel 2,IR
38954,Ferdos Films,
575,Bergen Film,
576,Bard Entertainments,
577,NPS Televisie,
38196,BET Pictures,
38197,United Image Entertainme,
2492,Playhouse International Pictures,
798,Samuel Goldwyn Company,US
1644,Largo Entertainment,US
1645,Scott Free Productions,GB
3311,Joe Wizan/Todd Black,
18737,NFH Films,
979,Woods Entertainment,CA
456,WCG Entertainment Productions,
1557,The Mark Gordon Company,US
75942,Midwinter Films,
22684,Kasso Productions,FR
5869,Les Productions Lazennec,FR
3324,BBC,GB
12113,CBC,CA
12911,Cinemax Reel Life,
96081,Boyle-Taylor Productions,
18,Gracie Films,US
9350,Indian Paintbrush,US
10355,Spelling Films,
1606,Brillstein-Grey Entertainment,
3929,Robert Simonds Productions,US
171,Malpaso Productions,US
2504,Jim Henson Productions,US
6254,The Jim Henson Company,US
4564,Icon Entertainment International,GB
7965,The Ladd Company,US
11353,B.H. Finance C.V.,
46059,Italo/Judeo Productions,
46060,Bill/Phillips,
2521,Orange Sky Golden Harvest,HK
3236,Bavaria Film and Television Fund,
850,Eurimages,FR
12745,British Screen Productions,GB
2090,Motion Picture Corporation of America,US
11308,Savoy Pictures,
2377,Chicago Pacific Entertainment,
19701,•Ciné Télé Action,
806,Téléfilm Canada,CA
540,Jet Tone Production,
264,Studio Babelsberg,DE
1766,Dieter Geissler Filmproduktion,
1979,Cinevox Filmproduktion GmbH,
94856,Robert Evans Company,
43,Fox Searchlight Pictures,US
34,Sony Pictures,US
3592,Warner Bros. Family Entertainment,
36854,Lee Rich Productions,
8,Fine Line Features,
16027,Portman Productions,
3644,Zenith Entertainment,
181,Channel Four Films,GB
3906,American Playhouse,US
23,Imagine Entertainment,US
7799,TF1 International,FR
8989,Talisman Productions,
236,October Films,US
5353,Fastnet Films,IE
1214,Guild,
429,DC Comics,US
9993,DC Entertainment,US
386,Paris Films Productions,
387,Five Films,
11290,Robert et Raymond Hakim,
30334,InterAL,
278,Propaganda Films,
903,David Brown Productions,
11098,The Harvey Entertainment Company,US
4319,40 Acres and a Mule Filmworks,US
4532,Superior Pictures,
2510,Mundy Lane Entertainment,
1274,Clinica Estetico,
2765,Blurco,
18902,The Teen Angst Movie Company,
1474,Desperate Pictures,US
10158,First Knight Productions,
644,Alcor Films,
5739,Donner/Shuler-Donner Productions,
87394,Suftley,
12909,The Booking Office,
12910,Workin' Man Films,
10603,Shining Excalibur Films,
25679,Independent Pictures,
13187,JDI productions,
13190,Lemon Sky Productions,
3557,Seraphim Films,
4350,Atlantis Films,
2267,First Choice Films,
7828,Max Films Productions,
37,Gramercy Pictures,US
11462,Alphaville Films,
2106,Saban Entertainment,
5822,Toei Company,JP
16561,Comet Film Produktion GmbH,
38959,Avrora Media,
38960,Cobblestone Pictures,
37897,Kino Link Company,
436,1492 Pictures,US
37890,Party Productions,
888,Overseas FilmGroup,US
86906,NEO Motion Pictures,
1422,Killer Films,US
39861,Chemical Films,
275,Carolco Pictures,US
16368,Hawn / Sylbert Movie Company,
705,Spring Creek Productions,US
574,Lightstorm Entertainment,US
14680,Parc Film,
1147,Madeleine Films,FR
1080,Beta Film,DE
16026,FIT Productions,
6849,SFP,FR
17825,Seagal/Nasso Productions,
63906,Cutting Edge Films,
2851,Zucker Brothers Productions,
1073,Gordon Company,
1302,Davis Entertainment,US
3268,HBO,US
6454,Caméra One,
3467,Three T Productions,RU
6367,PolyGram Audiovisuel,FR
104576,Filmhaus Films,AT
6365,Jack Giarraputo Productions,
18189,Spelling Films International,
16192,Hera Productions,
1595,Island World,
4867,Full Moon Entertainment,
1898,Screen Ireland,IE
4127,Lantana,
16934,View Askew Productions,US
70,American Zoetrope,US
11407,Baltimore Pictures,
826,Capitol Films,GB
10565,Good Machine,US
5528,Ang Lee Productions,
25345,Central Motion Picture Corporation,TW
10166,Alliance Entertainment,
12800,Ego Film Arts,
34207,Prufrock Pictures,
3475,Disney Television Animation,US
5391,DisneyToon Studios,US
37581,MG,
2359,Stéphan Films,FR
1429,Italian International Film,
86421,Robson Orr Entertainment,US
97978,RAS Entertainment Ltd.,
13042,Kartemquin Films,US
11,WingNut Films,NZ
294,New Zealand Film Commission,NZ
2630,Majestic Films International,
11393,Bregman/Baer Productions,
360,Geffen Pictures,
2370,Merchant Ivory Productions,US
8816,Northern Lights Entertainment,US
414,Fountainbridge Films,
4063,Trimark Pictures,US
1,Lucasfilm Ltd.,US
983,Parallax Pictures,GB
84803,Aviacsa,
84804,Cinevista,US
348,Bedford Falls Productions,US
1656,Pangaea,
139288,Wife 'n' Kids,
36836,Showcase Entertaiment Inc.,
2832,Cineville,US
23022,Close Call Films,
131354,Cantaloupe Production,
89873,Newcomb Productions,
2428,Wolper Organization,
594,Capella International,
761,Cinehaus,
42935,Distant Justice Joint Venture,
11139,Metrodome Films,GB
23098,Triumph Films,
68551,J D Productions,
293,Avalon Studios,
295,NZ on Air,NZ
17067,CineTel Pictures,US
17068,MG Entertainment,
824,Kopelson Entertainment,
16775,Arnold Kopelson Productions,
2154,Punch Productions,
9,Gaumont,FR
66743,Les Films du Dauphin,FR
84839,Cecile Company,
84840,Thousand Cranes Filmworks,
6187,ARD/Degeto Film,DE
12883,Nomura Babcock & Brown,
38,Zespół Filmowy TOR,PL
591,France 3 Cinéma,FR
1610,CED Productions,
24946,west wind entertainment,
16953,Norstar Entertainment,
457,Constellation Films,
4108,Rich Animation Studios,
29272,Jones Entertainment Group,
29273,Skerry Productions,
2596,Jerry Weintraub Productions,US
11134,Iguana Producciones,
347,Centropolis Entertainment,
889,Outlaw Productions,US
980,The Glasgow Film Fund,
359,Figment Films,
78701,Kino Korsakoff,
6647,Tabasco films,
10015,TeleMadrid,ES
4733,1992 Number Four Limited Partnership,
4734,MHA,
1078,Shanghai Film Studio,CN
25299,Era International Ltd,
2231,Trilogy Entertainment Group,US
69626,Tales From The Crypt Holdings,
1930,IRS Media,
14729,Populist Pictures,
37350,"Jackson/McHenry Company,The",
23808,Price Entertainment,
12474,J&M Entertainment,
36024,British Columbia Film Commission,
11840,Film Victoria,AU
39250,House & Moorhouse Films,
10157,Beacon Pictures,
1938,Scholastic Productions,US
8725,Latent Image Productions Pty. Ltd.,
1381,Specific Films,
355,R.P. Productions,FR
