index,mid,country_id
0,862,US
1,8844,US
2,15602,US
3,31357,US
4,11862,US
5,949,US
6,11860,DE
7,11860,US
8,45325,US
9,9091,US
10,710,GB
11,710,US
12,9087,US
13,12110,FR
14,12110,US
15,21032,US
16,10858,US
17,1408,FR
18,1408,DE
19,1408,IT
20,524,FR
21,524,US
22,4584,GB
23,4584,US
24,5,US
25,9273,US
26,11517,US
27,8012,US
28,1710,US
29,9691,FR
30,9691,US
31,12665,US
32,451,US
33,16420,IT
34,9263,US
35,17015,FR
36,17015,GB
37,902,ES
38,902,FR
39,902,DE
40,37557,CN
41,37557,FR
42,9909,US
43,63,US
44,9598,AU
45,9598,US
46,687,US
47,687,GB
48,33689,US
49,9603,US
50,34615,ZA
51,34615,US
52,31174,GB
53,31174,US
54,11443,US
55,35196,US
56,9312,US
57,577,CA
58,577,GB
59,577,US
60,11861,US
61,807,US
62,10530,US
63,8391,CA
64,629,US
65,11448,US
66,49133,IT
67,49133,FR
68,49133,CH
69,26441,US
70,97406,FR
71,97406,US
72,9089,US
73,11010,BE
74,11010,FR
75,11010,IT
76,11359,US
77,17182,US
78,2054,US
79,10607,US
80,19760,US
81,9536,US
82,11525,US
83,4482,FR
84,10634,US
85,755,US
86,11859,US
87,28387,US
88,48750,FR
89,20927,US
90,36929,US
91,9102,CA
92,9102,JP
93,9102,US
94,124626,DE
95,124626,US
96,27526,US
97,9623,US
98,46785,IR
99,400,US
100,880,NL
101,880,GB
102,880,BE
103,146599,US
104,8447,GB
105,8447,US
106,10534,US
107,17414,US
108,13997,US
109,2086,US
110,9095,US
111,12158,US
112,9283,US
113,9208,US
114,40154,GB
115,406,FR
116,63076,GB
117,63076,CA
118,63076,US
119,11062,US
120,13685,US
121,47475,US
122,2045,US
123,9614,US
124,688,US
125,11907,DE
126,10874,GB
127,10874,US
128,89333,
129,197,US
130,103,US
131,33542,HK
132,43566,US
133,51352,NL
134,51352,GB
135,51352,US
136,16934,FR
137,16934,DE
138,16934,GB
139,10324,US
140,78406,US
141,32119,CA
142,11066,US
143,11104,HK
144,2074,US
145,27793,DE
146,27793,US
147,290157,
148,110972,
149,11863,US
150,9101,US
151,5757,US
152,9302,US
153,11000,US
154,16388,US
155,9737,US
156,30765,US
157,10474,US
158,22279,GB
159,30157,US
160,30157,FR
161,30157,GB
162,568,US
163,11780,GB
164,11780,US
165,34996,US
166,414,GB
167,414,US
168,649,FR
169,649,IT
170,1873,
171,5894,US
172,1775,CA
173,1775,US
174,8839,US
175,20649,US
176,10329,US
177,8963,US
178,26564,US
179,8068,US
180,8512,US
181,1572,US
182,13552,FR
183,13552,US
184,6520,US
185,9073,FR
186,9073,US
187,10428,US
188,17447,US
189,9886,CA
190,9886,US
191,9482,US
192,19326,US
193,9344,US
194,9071,US
195,8973,US
196,15730,CA
197,47608,US
198,2293,US
199,9070,JP
200,9070,US
201,48787,DE
202,48787,RU
203,48787,GB
204,34574,US
205,1642,US
206,11472,US
207,36196,US
208,11980,US
209,58372,US
210,32646,GB
211,32646,US
212,10533,US
213,10802,FR
214,10802,US
215,10149,DE
216,10149,JP
217,10149,US
218,18402,US
219,9348,US
220,281,US
221,5967,FR
222,47939,US
223,36834,FR
224,36834,BE
225,36834,GB
226,9090,US
227,3512,US
228,52856,US
229,77350,US
230,9560,US
231,9804,US
232,31611,FR
233,31611,US
234,65796,
235,49805,GB
236,26258,US
237,50797,FR
238,50797,RU
239,19155,GB
240,19155,MK
241,19155,FR
242,76,AT
243,76,CH
244,76,US
245,11017,US
246,37141,US
247,9382,FR
248,9382,US
249,6715,US
250,18256,US
251,22625,IE
252,22625,GB
253,2292,US
254,1909,US
255,8984,US
256,4954,US
257,62488,US
258,10531,US
259,10531,FR
260,10531,GB
261,11929,US
262,8467,US
263,10451,TW
264,10451,US
265,20156,CA
266,18395,US
267,522,US
268,397,GB
269,397,US
270,10525,US
271,27985,US
272,15789,AU
273,15789,CA
274,15789,US
275,27303,US
276,21183,US
277,10954,BE
278,10954,FR
279,10954,IT
280,47867,US
281,14275,US
282,1024,NZ
283,17207,US
284,13701,US
285,14819,US
286,32631,US
287,11777,US
288,628,US
289,87729,FR
290,87729,US
291,18713,US
292,6280,US
293,9061,US
294,37108,
295,6071,US
296,11,US
297,9587,US
298,19101,US
299,49980,GB
300,18183,MX
301,4476,US
302,11008,US
303,32325,GB
304,32325,US
305,43742,US
306,28313,US
307,11318,GB
308,3036,GB
309,3036,JP
310,3036,US
311,40490,US
312,24070,US
313,8986,US
314,10510,US
315,17402,US
316,38722,US
317,8438,FR
318,8438,US
319,11593,US
320,1945,US
321,39310,US
322,109560,JP
323,109560,US
324,56428,GB
325,131957,
326,241,US
327,9058,US
328,527,NZ
329,18220,US
330,6950,US
331,101,FR
332,101,US
333,63020,US
334,2307,US
335,680,US
336,25296,TW
337,25296,US
338,40156,GB
339,11450,US
340,30304,JP
341,30304,US
342,10452,FR
343,10452,DE
344,10452,IT
345,12106,JP
346,12106,US
347,161495,US
348,3586,US
349,110,FR
350,110,PL
351,110,CH
352,108,FR
353,108,PL
354,109,FR
355,109,PL
356,36357,US
357,92769,CA
358,28033,DE
359,28033,US
360,22586,US
361,14334,IE
362,14334,US
363,2636,PE
364,2636,US
365,2164,FR
366,2164,US
367,11395,CA
368,11395,US
369,278,US
370,9905,GB
371,87078,US
372,12527,CU
373,12527,MX
374,12527,ES
375,20306,US
376,36614,AU
377,27993,CA
378,27993,US
379,31439,CN
380,31439,HK
381,9067,US
382,9059,US
383,193,US
384,25066,US
385,46797,GB
386,46797,US
387,12122,US
388,11381,US
389,32636,US
390,36141,US
391,95963,US
392,1587,US
393,9271,US
394,2064,US
395,19855,US
396,60855,CA
397,236,AU
398,236,FR
399,48287,US
400,3049,US
401,2759,AU
402,12635,DE
403,12635,GB
404,10497,FR
405,10497,GB
406,10497,US
407,11382,US
408,9331,US
409,10731,US
410,10464,US
411,34152,US
412,9495,US
413,29973,US
414,888,US
415,13,US
416,712,GB
417,16295,US
418,48992,US
419,10879,US
420,10660,US
421,10714,US
422,41647,FR
423,41647,GB
424,41647,DE
425,8587,US
426,1689,FR
427,1689,IT
428,1689,LI
429,11596,US
430,854,US
431,9359,US
432,23333,US
433,36593,US
434,12280,US
435,2788,US
436,10427,US
437,11011,US
438,8987,US
439,1637,US
440,15128,US
441,8831,US
442,8831,JP
443,36955,US
444,10449,US
445,10395,US
446,12160,US
447,40480,US
448,52038,IE
449,52038,GB
450,29444,US
451,26352,US
452,39953,US
453,41580,FR
454,315,US
455,22067,US
456,11667,JP
457,11667,US
458,8011,CA
459,8011,FR
460,8011,GB
461,171857,
462,2654,US
463,18069,US
464,19092,US
465,2758,US
466,10436,US
467,13595,US
468,46094,US
469,9409,US
470,11853,US
471,16771,US
472,46924,JP
473,46924,GB
474,46924,US
475,11041,US
476,306,US
477,14522,GB
478,14522,US
479,26203,US
480,178,US
481,19819,US
482,57834,US
483,4722,US
484,18215,US
485,1607,US
486,26391,US
487,117553,US
488,6075,US
489,11310,US
490,18658,US
491,9350,FR
492,9350,IT
493,9350,US
494,9612,US
495,2124,US
496,26261,US
497,19176,US
498,11566,US
499,9571,US
500,9739,US
501,34444,US
502,26141,US
503,10997,CN
504,10997,HK
505,10443,US
506,20239,GB
507,20239,US
508,16297,US
509,18551,US
510,25440,IE
511,25440,GB
512,9024,US
513,37233,US
514,1634,FR
515,1634,US
516,13815,FR
517,13815,US
518,5503,US
519,35588,US
520,2087,JP
521,2087,US
522,41579,US
523,18620,US
524,2019,US
525,9255,US
526,26271,US
527,10612,GB
528,2259,DK
529,2259,FR
530,2259,DE
531,16097,US
532,11934,DE
533,11934,GB
534,11934,US
535,106143,US
536,12475,US
537,9386,US
538,7984,GB
539,7984,IE
540,59930,US
541,15765,US
542,31643,US
543,6,JP
544,6,US
545,329,US
546,10909,US
547,507,FR
548,507,US
549,29918,US
550,9593,US
551,42580,US
552,22317,AU
553,22317,US
554,1413,US
555,12121,FR
556,12121,US
557,2246,US
558,10502,US
559,10440,US
560,9516,US
561,2320,US
562,5879,FR
563,5879,JP
564,83718,US
565,11971,GB
566,11971,US
567,31911,US
568,788,US
569,21450,GB
570,11231,US
571,10447,US
572,31586,US
573,9300,FR
574,9300,IT
575,9300,NL
576,9559,US
577,9800,US
578,713,NZ
579,713,AU
580,713,FR
581,8291,US
582,18133,US
583,25557,US
584,22588,US
585,10872,US
586,1245,GB
587,1245,US
588,11858,CA
589,11858,US
590,7007,US
591,10467,US
592,5550,US
593,8005,FR
594,8005,US
595,2088,GB
596,2088,US
597,10412,AU
598,47889,US
599,14534,US
600,41878,FR
601,41878,IT
602,424,US
603,35233,US
604,14291,US
605,11236,GB
606,11236,US
607,11592,US
608,8850,US
609,10445,GB
610,695,US
611,43535,US
612,12519,AU
613,12519,GB
614,23210,US
615,858,US
616,867,US
617,78,US
618,78,HK
619,78,GB
620,13203,US
621,10442,US
622,11074,US
623,9607,GB
624,9607,US
625,17585,US
626,9057,US
627,20967,FI
628,20967,CA
629,20967,NL
630,10635,US
631,9479,US
632,10057,US
633,10057,AT
634,11969,US
635,319,US
636,26408,US
637,15139,US
638,11446,US
639,51980,BE
640,51980,FR
641,51980,IT
642,24405,US
643,8223,FR
644,8223,ES
645,14587,GB
646,31504,US
647,23637,IT
648,17600,US
649,10897,US
650,21352,US
651,68806,IT
652,37345,GB
653,37345,US
654,32562,US
655,25403,IT
656,25403,FR
657,9066,US
658,771,US
659,251,US
660,812,US
661,280,FR
662,280,US
663,581,GB
664,581,US
665,268,GB
666,268,US
667,274,US
668,408,US
669,10020,US
670,10895,US
671,114,US
672,576,US
673,15477,US
674,124472,
675,7300,US
676,10824,US
677,275,GB
678,275,US
679,25059,CA
680,25059,US
681,11827,CA
682,8766,US
683,23570,US
684,47333,FR
685,47333,IT
686,47333,GB
687,51242,IT
688,10112,US
689,4307,FR
690,4307,ES
691,46029,ES
692,46029,US
693,32308,US
694,28121,US
695,12520,US
696,1592,US
697,19042,US
698,38884,FR
699,38884,DE
700,38884,ES
701,47449,US
702,36259,US
703,41852,US
704,40926,US
705,9099,US
706,2021,FR
707,2021,GB
708,61752,US
709,10988,US
710,12652,DE
711,12652,FR
712,12652,IT
713,10684,US
714,954,US
715,68445,IS
716,68445,DK
717,68445,DE
718,18989,US
719,8840,US
720,11107,US
721,10539,US
722,10543,US
723,18414,US
724,18414,CA
725,11902,BG
726,11902,FR
727,11902,DE
728,25087,US
729,5801,IN
730,896,IN
731,3065,US
732,2300,US
733,8069,FR
734,8069,IT
735,27768,
736,221917,IE
737,221917,US
738,8072,IT
739,8072,FR
740,33245,US
741,27281,US
742,40001,US
743,29621,US
744,29621,MX
745,20762,US
746,37144,US
747,12656,US
748,38867,US
749,25969,US
750,43634,US
751,9103,CA
752,9103,US
753,29649,
754,10990,US
755,8866,US
756,12233,US
757,23449,US
758,36355,US
759,922,DE
760,922,JP
761,922,US
762,11876,FR
763,11687,FR
764,9304,US
765,503475,GB
766,73183,US
767,9100,US
768,20759,US
769,46063,US
770,32513,GB
771,36915,GB
772,36915,US
773,9802,US
774,21588,FR
775,21588,DE
776,21588,IT
777,664,US
778,11867,US
779,9323,JP
780,10280,US
781,10535,US
782,532,GB
783,16299,GB
784,16299,US
785,10547,MX
786,10547,US
787,935,GB
788,935,US
789,40751,HK
790,40751,TW
791,85778,US
792,11101,DE
793,9826,AU
794,9826,US
795,9879,US
796,22621,US
797,7095,US
798,26890,GB
799,26890,US
800,77771,SN
801,41225,FR
802,41225,IT
803,627,GB
804,32872,US
805,602,US
806,14553,FR
807,14553,IT
808,14553,GB
809,9566,US
810,10545,US
811,9894,US
812,11543,US
813,9268,CA
814,9268,US
815,9327,US
816,81949,FR
817,81949,RO
818,44535,US
819,11228,US
820,10779,NZ
821,10779,US
822,26748,US
823,38223,US
824,9294,US
825,49963,DE
826,49963,GB
827,49963,US
828,11363,US
829,1645,US
830,31546,GB
831,31546,US
832,36344,CA
833,18550,US
834,11511,US
835,34170,US
836,12606,US
837,4837,FR
