index,mid,person_id
0,862,31
1,862,12898
2,862,7167
3,862,12899
4,862,12900
5,8844,2157
6,8844,8537
7,8844,205
8,8844,145151
9,8844,5149
10,15602,6837
11,15602,3151
12,15602,13567
13,15602,16757
14,15602,589
15,31357,8851
16,31357,9780
17,31357,18284
18,31357,51359
19,31357,66804
20,11862,67773
21,11862,3092
22,11862,519
23,11862,70696
24,11862,59222
25,949,1158
26,949,380
27,949,5576
28,949,10127
29,949,3197
30,11860,3
31,11860,15887
32,11860,17141
33,11860,4301
34,11860,12957
35,45325,53283
36,45325,51214
37,45325,38581
38,45325,8316
39,45325,87007
40,9091,15111
41,9091,6280
42,9091,10361
43,9091,79088
44,9091,12928
45,710,517
46,710,48
47,710,10695
48,710,10696
49,710,10671
50,9087,3392
51,9087,516
52,9087,8349
53,9087,19839
54,9087,20767
55,12110,7633
56,12110,14639
57,12110,1219
58,12110,12688
59,12110,12812
60,21032,4724
61,21032,382
62,21032,2233
63,21032,12077
64,21032,110001
65,10858,4173
66,10858,11148
67,10858,6280
68,10858,228
69,10858,382
70,1408,16935
71,1408,8654
72,1408,8924
73,1408,7868
74,1408,8979
75,524,380
76,524,4430
77,524,4517
78,524,4512
79,524,7167
80,4584,7056
81,4584,4566
82,4584,204
83,4584,3291
84,4584,10726
85,5,3129
86,5,3130
87,5,3131
88,5,3124
89,5,2555
90,9273,206
91,9273,3547
92,9273,4001
93,9273,4029
94,9273,57096
95,11517,10814
96,11517,57755
97,11517,16866
98,11517,9287
99,11517,2955
100,8012,8891
101,8012,193
102,8012,14343
103,8012,518
104,8012,1117
105,1710,10205
106,1710,18686
107,1710,883
108,1710,18687
109,1710,18688
110,9691,16483
111,9691,3131
112,9691,1231
113,9691,58556
114,9691,17348
115,12665,2453
116,12665,54789
117,12665,2714
118,12665,4785
119,12665,36637
120,451,2963
121,451,1951
122,451,6104
123,451,6105
124,451,6106
125,16420,2975
126,16420,1350
127,16420,11181
128,16420,27631
129,16420,17483
130,9263,6886
131,9263,2155
132,9263,12930
133,9263,12929
134,9263,29369
135,17015,30318
136,17015,8785
137,17015,87415
138,17015,10981
139,17015,14465
140,902,2372
141,902,2413
142,902,13842
143,902,13843
144,902,13687
145,37557,643
146,37557,146097
147,37557,150152
148,37557,150151
149,37557,143358
150,9909,1160
151,9909,10477
152,9909,24047
153,9909,11902
154,9909,12642
155,63,62
156,63,289
157,63,287
158,63,290
159,63,52
160,9598,58136
161,9598,6199
162,9598,52699
163,9598,1331
164,9598,35109
165,687,4038
166,687,2228
167,687,10360
168,687,10361
169,687,8655
170,33689,1796
171,33689,26472
172,33689,67848
173,33689,67849
174,33689,92255
175,9603,5588
176,9603,58150
177,9603,328
178,9603,22226
179,9603,49002
180,34615,15152
181,34615,17764
182,34615,123831
183,34615,123833
184,34615,123834
185,31174,1327
186,31174,516
187,31174,388
188,31174,3223
189,31174,5470
190,11443,18291
191,11443,65827
192,11443,66
193,11443,6862
194,11443,69447
195,35196,3223
196,35196,5344
197,35196,4783
198,35196,11207
199,35196,3291
200,9312,38559
201,9312,57250
202,9312,57251
203,9312,11398
204,9312,20751
205,577,2227
206,577,2876
207,577,73421
208,577,1893
209,577,2841
210,11861,1920
211,11861,10774
212,11861,9560
213,11861,18794
214,11861,14500
215,807,287
216,807,192
217,807,12052
218,807,8655
219,807,11885
220,10530,65529
221,10530,2461
222,10530,28010
223,10530,31365
224,10530,3894
225,8391,54818
226,8391,54819
227,8391,15319
228,8391,20173
229,8391,4569
230,629,9045
231,629,1979
232,629,5168
233,629,9046
234,629,7166
235,11448,1243
236,11448,23931
237,11448,1283
238,11448,1164
239,11448,10560
240,49133,27392
241,49133,25819
242,49133,1149435
243,49133,1180060
244,49133,1306493
245,26441,46423
246,26441,26472
247,26441,69395
248,26441,6067
249,26441,8659
250,97406,10431
251,97406,51544
252,97406,15854
253,97406,7268
254,97406,42746
255,9089,18686
256,9089,3223
257,9089,10774
258,9089,1466
259,9089,6194
260,11010,24366
261,11010,67792
262,11010,10777
263,11010,14149
264,11010,538696
265,11359,69301
266,11359,69302
267,11359,32225
268,11359,28633
269,11359,1318612
270,17182,35
271,17182,2628
272,17182,228
273,17182,821
274,17182,33689
275,2054,3037
276,2054,21104
277,2054,21105
278,2054,3019
279,2054,3905
280,10607,35690
281,10607,9562
282,10607,66131
283,10607,27590
284,10607,2535
285,19760,18277
286,19760,5724
287,19760,5050
288,19760,8435
289,19760,66131
290,9536,64998
291,9536,9045
292,9536,7676
293,9536,16484
294,9536,43433
295,11525,29459
296,11525,40009
297,11525,58119
298,11525,36898
299,11525,72612
300,4482,25256
301,4482,35137
302,4482,4275
303,4482,13689
304,4482,35908
305,10634,9778
306,10634,66
307,10634,9781
308,10634,8396
309,10634,56902
310,755,1461
311,755,138
312,755,1037
313,755,3196
314,755,11158
315,11859,13021
316,11859,33665
317,11859,782
318,11859,4443
319,11859,30488
320,28387,52419
321,28387,46423
322,28387,52930
323,28387,7036
324,28387,78190
325,48750,3829
326,48750,35211
327,48750,63895
328,48750,141054
329,48750,6014
330,20927,2224
331,20927,31140
332,20927,21063
333,20927,16851
334,20927,4890
335,36929,8872
336,36929,74036
337,36929,105962
338,36929,10556
339,36929,4175
340,9102,27811
341,9102,56977
342,9102,56978
343,9102,56979
344,9102,25689
345,124626,938895
346,124626,109142
347,124626,582020
348,124626,14397
349,124626,7491
350,27526,514
351,27526,52
352,27526,5657
353,27526,32
354,27526,6721
355,9623,3416
356,9623,7447
357,9623,24045
358,9623,8256
359,9623,4691
360,46785,1034640
361,46785,1034642
362,46785,1034643
363,46785,1387299
364,46785,1387300
365,400,1271
366,400,1062
367,400,4520
368,400,5502
369,400,4515
370,880,13506
371,880,13507
372,880,13508
373,880,13509
374,880,13510
375,146599,19739
376,146599,119598
377,146599,157439
378,146599,53918
379,146599,54800
380,8447,40900
381,8447,5470
382,8447,14326
383,8447,55037
384,8447,35862
385,10534,1229
386,10534,6692
387,10534,47879
388,10534,24965
389,10534,23958
390,17414,1206
391,17414,6450
392,17414,27564
393,17414,4757
394,17414,171373
395,13997,58198
396,13997,60950
397,13997,21561
398,13997,2048
399,13997,26999
400,2086,85
401,2086,21365
402,2086,17764
403,2086,4690
404,2086,21366
405,9095,1204
406,9095,6949
407,9095,47722
408,9095,5658
409,9095,515
410,12158,776
411,12158,9780
412,12158,32486
413,12158,66554
414,12158,56902
415,9283,16327
416,9283,2876
417,9283,11315
418,9283,49425
419,9283,34485
420,9208,8891
421,9208,2224
422,9208,20767
423,9208,18792
424,9208,4029
425,40154,17483
426,40154,29859
427,40154,13637
428,40154,32357
429,40154,53328
430,406,1925
431,406,5418
432,406,5419
433,406,5420
434,406,72270
435,63076,92561
436,63076,92032
437,63076,1144665
438,63076,1144666
439,63076,74954
440,11062,1158
441,11062,3036
442,11062,2233
443,11062,1004
444,11062,2641
445,13685,36422
446,13685,887
447,13685,52797
448,13685,74940
449,13685,71555
450,47475,14
451,47475,8984
452,47475,3234
453,47475,923
454,47475,23709
455,2045,11477
456,2045,9625
457,2045,9979
458,2045,4443
459,2045,19839
460,9614,19292
461,9614,4443
462,9614,31171
463,9614,11794
464,9614,20818
465,688,5064
466,688,190
467,688,6907
468,688,10379
469,688,10380
470,11907,22686
471,11907,70887
472,11907,70888
473,11907,9931
474,11907,1084
475,10874,13472
476,10874,9188
477,10874,12094
478,10874,19996
479,10874,64181
480,89333,937034
481,89333,937035
482,89333,103057
483,89333,50841
484,89333,3664
485,197,2461
486,197,2462
487,197,1957
488,197,2463
489,197,2464
490,103,380
491,103,1038
492,103,13
493,103,1037
494,103,1036
495,33542,18897
496,33542,44917
497,33542,10875
498,33542,44922
499,33542,44919
500,43566,5064
501,43566,3896
502,43566,820
503,43566,658
504,43566,1473
505,51352,11181
506,51352,515
507,16934,5312
508,16934,77637
509,16934,53367
510,16934,81024
511,16934,10729
512,10324,520
513,10324,68185
514,10324,7399
515,10324,5590
516,10324,8986
517,78406,1271
518,78406,1903
519,78406,10768
520,78406,532
521,78406,18316
522,32119,15319
523,32119,198643
524,32119,1195879
525,32119,946161
526,32119,1828572
527,11066,776
528,11066,59153
529,11066,4587
530,11066,58563
531,11066,10661
532,11104,56830
533,11104,1337
534,11104,12671
535,11104,43661
536,11104,119875
537,2074,7399
538,2074,4687
539,2074,4939
540,2074,21277
541,2074,18364
542,27793,18259
543,27793,57236
544,27793,70851
545,27793,95645
546,27793,12517
547,290157,1435458
548,110972,2694
549,110972,8256
550,110972,1230
551,110972,77133
552,110972,4003
553,11863,9625
554,11863,2712
555,11863,16560
556,11863,9046
557,11863,58312
558,9101,7090
559,9101,34485
560,9101,60949
561,9101,5048
562,9101,6905
563,5757,45382
564,5757,45386
565,5757,45387
566,5757,45388
567,5757,45389
568,9302,4135
569,9302,1160
570,9302,8893
571,9302,3266
572,9302,18794
573,11000,2157
574,11000,78729
575,11000,193
576,11000,1902
577,11000,5346
578,16388,86308
579,16388,21398
580,16388,86309
581,16388,86310
582,16388,12833
583,9737,78029
584,9737,2888
585,9737,4939
586,9737,10698
587,9737,532
588,30765,32747
589,30765,108210
590,30765,108211
591,30765,108212
592,30765,108213
593,10474,6193
594,10474,11478
595,10474,65395
596,10474,13240
597,10474,9257
598,22279,4566
599,22279,3291
600,22279,95789
601,22279,2629
602,22279,22109
603,30157,17882
604,30157,42993
605,30157,17257
606,30157,109144
607,30157,171574
608,568,31
609,568,2053
610,568,4724
611,568,33
612,568,228
613,11780,3896
614,11780,4431
615,11780,5049
616,11780,3129
617,11780,7036
618,34996,3127
619,34996,4690
620,34996,18750
621,34996,36190
622,34996,3137
623,414,5576
624,414,2176
625,414,206
626,414,2227
627,414,5577
628,649,50
629,649,9762
630,649,3784
631,649,9763
632,649,17577
633,1873,4687
634,1873,19668
635,1873,3910
636,1873,8978
637,1873,19669
638,5894,1037
639,5894,46392
640,5894,521
641,5894,46393
642,5894,10437
643,1775,7180
644,1775,21278
645,1775,24203
646,1775,7166
647,1775,9626
648,8839,6886
649,8839,8984
650,8839,50398
651,8839,14702
652,8839,10713
653,20649,1037
654,20649,1241
655,20649,18792
656,20649,327
657,20649,21353
658,10329,350
659,10329,21043
660,10329,8874
661,10329,13472
662,10329,31511
663,8963,5292
664,8963,193
665,8963,13525
666,8963,10477
667,8963,110
668,26564,73033
669,26564,95663
670,26564,1369235
671,26564,1369236
672,26564,1369237
673,8068,3131
674,8068,3136
675,8068,22462
676,8068,884
677,8068,11159
678,8512,5292
679,8512,3197
680,8512,3130
681,8512,1896
682,8512,7868
683,1572,62
684,1572,2231
685,1572,16940
686,1572,6804
687,1572,13023
688,13552,16850
689,13552,1582
690,13552,51670
691,13552,157847
692,13552,61632
693,6520,738
694,6520,1205
695,6520,15887
696,6520,29068
697,6520,15498
698,9073,18259
699,9073,147
700,9073,18261
701,9073,18260
702,9073,8184
703,10428,9012
704,10428,11701
705,10428,17772
706,10428,26457
707,10428,28863
708,17447,6106
709,17447,2387
710,17447,42722
711,17447,10205
712,17447,26715
713,9886,6384
714,9886,2133
715,9886,3317
716,9886,21411
717,9886,16644
718,9482,16483
719,9482,2882
720,9482,23346
721,9482,60949
722,9482,920
723,19326,64998
724,19326,13445
725,19326,2283
726,19326,18262
727,19326,7632
728,9344,57387
729,9344,57388
730,9344,57389
731,9344,131299
732,9344,1187720
733,9071,884
734,9071,2229
735,9071,20212
736,9071,82220
737,9071,6474
738,8973,2154
739,8973,18916
740,8973,10696
741,8973,156136
742,8973,1473
743,15730,13638
744,15730,73296
745,15730,78685
746,15730,18658
747,15730,78686
748,47608,5577
749,47608,69597
750,47608,26457
751,47608,175540
