person_id,name,department,birthday,deathday,gender,birth_place
31,Tom Hanks,Acting,1956/07/09,,2,"Concord, California, USA"
12898,Tim Allen,Acting,1953/06/13,,2,"Denver, Colorado, USA"
7167,Don Rickles,Acting,1926/05/08,,2,"Queens, New York, U.S."
12899,Jim Varney,Acting,1949/06/15,,2,
12900,Wallace Shawn,Acting,1943/11/12,,2,"New York City, New York, USA"
2157,Robin Williams,Acting,1951/07/21,,2,Chicago - Illinois - USA
8537,Jonathan Hyde,Acting,1948/05/21,,2,"Brisbane, Australia"
205,Kirsten Dunst,Acting,1982/04/30,,1,"Point Pleasant, New Jersey, USA"
145151,Bradley Pierce,Acting,1982/10/23,,2,"Glendale, Arizona, USA"
5149,Bonnie Hunt,Acting,1961/09/22,,1,"Chicago Lawn, Chicago, Illinois, USA"
6837,Walter Matthau,Acting,1920/10/01,,2,"New York City, New York, USA"
3151,Jack Lemmon,Acting,1925/02/08,,2,"Newton, Massachusetts, USA"
13567,Ann-Margret Olsson,Acting,1941/04/28,,1,"Valsjöbyn, Jämtlands län, Sweden"
16757,Sophia Loren,Acting,1934/09/20,,1," Rome, Italy"
589,Daryl Hannah,Acting,1960/12/03,,1,"Chicago, Illinois, USA "
8851,Whitney Houston,Acting,1963/08/09,,1,"Newark, New Jersey, USA "
9780,Angela Bassett,Acting,1958/08/16,,1,"New York City, New York, USA"
18284,Loretta Devine,Acting,1949/08/21,,1,"Houston, Texas, USA"
51359,Lela Rochon,Acting,1964/04/17,,1,"Los Angeles, California, USA"
66804,Gregory Hines,Acting,1946/02/14,,2,"New York City, New York, USA"
67773,Steve Martin,Acting,1945/08/14,,2,"Waco, Texas, USA"
3092,Diane Keaton,Acting,1946/01/05,,1,"Los Angeles, California, USA"
519,Martin Short,Acting,1950/03/26,,2,"Hamilton, Ontario, Canada"
70696,Kimberly Williams-Paisley,Acting,1971/09/14,,1,"Rye, New York, USA"
59222,George Newbern,Acting,1964/12/10,,2,"Little Rock, Arkansas, USA"
1158,Al Pacino,Acting,1940/04/25,,2,"New York City, New York, USA"
380,Robert De Niro,Acting,1943/08/17,,2,"Greenwich Village, New York City, New York, USA"
5576,Val Kilmer,Acting,1959/12/31,,2,"Los Angeles, California, USA"
10127,Jon Voight,Acting,1938/12/29,,2,"Yonkers, New York, USA"
3197,Tom Sizemore,Acting,1961/11/29,,2,"Detroit, Michigan, USA"
3,Harrison Ford,Acting,1942/07/13,,2,"Chicago, Illinois, USA"
15887,Julia Ormond,Acting,1965/01/04,,1,Epsom - Surrey - England - UK
17141,Greg Kinnear,Acting,1963/06/17,,2,"Logansport, Indiana, USA"
4301,Angie Dickinson,Acting,1931/09/30,,1,"Kulm, North Dakota, USA"
12957,Nancy Marchand,Acting,1928/06/19,,1,"Buffalo, New York, USA"
53283,Jonathan Taylor Thomas,Acting,1981/09/08,,2,"Bethlehem, Pennsylvania, USA"
51214,Brad Renfro,Acting,1982/07/25,,2,"Knoxville, Tennessee, U.S."
38581,Rachael Leigh Cook,Acting,1979/10/04,,1,"Minneapolis, Minnesota, USA"
8316,Michael McShane,Acting,1955/06/25,,2,"Boston, Massachusetts, USA"
87007,Amy Wright,Acting,1950/04/15,,1,"Chicago, Illinois, U.S."
15111,Jean-Claude Van Damme,Acting,1960/10/18,,2,"Berchem-Sainte-Agathe, Brussels, Belgium"
6280,Powers Boothe,Acting,1948/06/01,,2,"Snyder, Texas, U.S."
10361,Raymond J. Barry,Acting,1939/03/14,,2,"Hempstead, Long Island, New York, USA"
79088,Whittni Wright,Acting,,,1,
12928,Ross Malinger,Acting,1984/07/07,,2," Redwood City, California"
517,Pierce Brosnan,Acting,1953/05/16,,2,"Navan, County Meath, Ireland"
48,Sean Bean,Acting,1959/04/17,,2,"Sheffield, South Yorkshire, England, UK"
10695,Izabella Scorupco,Acting,1970/06/04,,1,"Białystok, Poland"
10696,Famke Janssen,Acting,1964/11/05,,1,"Amstelveen, Noord-Holland, Netherlands"
10671,Joe Don Baker,Acting,1936/02/12,,2,"Groesbeck, Texas, USA"
3392,Michael Douglas,Acting,1944/09/25,,2,"New Brunswick, New Jersey, USA"
516,Annette Bening,Acting,1958/05/29,,1,"Topeka, Kansas, USA"
8349,Martin Sheen,Acting,1940/08/03,,2,"Dayton, Ohio, USA"
19839,David Paymer,Acting,1954/08/30,,2,"Oceanside, Long Island, New York, USA"
20767,Samantha Mathis,Acting,1970/05/12,,1,"Brooklyn, New York, USA"
7633,Leslie Nielsen,Acting,1926/02/11,,2,"Regina, Saskatchewan, Canada"
14639,Mel Brooks,Acting,1926/06/28,,2,"Brooklyn, New York, USA"
1219,Amy Yasbeck,Acting,1962/09/12,,1,"Cincinnati, Ohio, USA"
12688,Peter MacNicol,Acting,1954/04/10,,2,"Dallas, Texas, USA"
12812,Lysette Anthony,Acting,1963/09/26,,1," London, England, UK"
4724,Kevin Bacon,Acting,1958/07/08,,2,"Philadelphia, Pennsylvania, USA"
382,Bob Hoskins,Acting,1942/10/26,,2,"Bury St. Edmunds, Suffolk, England, UK"
2233,Bridget Fonda,Acting,1964/01/27,,1,"Los Angeles, California, USA"
12077,Jim Cummings,Acting,1952/11/03,,2,"Youngstown, Ohio, USA"
