index,mid,language_id
0,862,en
1,862,en
2,8844,en
3,8844,fr
4,15602,en
5,31357,en
6,11862,en
7,949,en
8,949,es
9,11860,en
10,11860,fr
11,45325,de
12,45325,en
13,9091,en
14,710,en
15,710,ru
16,710,es
17,9087,en
18,12110,en
19,12110,de
20,21032,en
21,10858,en
22,1408,en
23,524,en
24,4584,en
25,5,en
26,9273,en
27,11517,en
28,8012,en
29,1710,de
30,1710,en
31,9691,en
32,9691,es
33,9691,nl
34,12665,en
35,451,en
36,16420,en
37,9263,en
38,17015,en
39,902,vi
40,902,fr
41,37557,zh
42,9909,en
43,63,en
44,63,fr
45,9598,en
46,687,en
47,33689,en
48,9603,es
49,9603,en
50,34615,en
51,31174,en
52,11443,en
53,35196,en
54,35196,es
55,9312,en
56,577,en
57,11861,en
58,807,en
59,10530,en
60,8391,en
61,629,es
62,629,en
63,629,fr
64,11448,en
65,49133,sq
66,49133,it
67,26441,de
68,26441,en
69,97406,fr
70,97406,en
71,9089,en
72,11010,es
73,11010,it
74,11359,en
75,11359,it
76,17182,en
77,17182,es
78,17182,ko
79,2054,en
80,10607,en
81,10607,es
82,19760,en
83,9536,ru
84,9536,en
85,11525,en
86,4482,es
87,4482,fr
88,10634,es
89,10634,en
90,755,en
91,755,es
92,11859,es
93,11859,en
94,28387,en
95,48750,fr
96,20927,en
97,36929,en
98,9102,en
99,124626,de
100,124626,en
101,27526,en
102,9623,en
103,46785,fa
104,400,en
105,880,nl
106,146599,en
107,8447,en
108,10534,en
109,17414,en
110,17414,ru
111,17414,fr
112,13997,en
113,2086,en
114,9095,en
115,12158,en
116,9283,en
117,9208,en
118,40154,en
119,406,fr
120,63076,en
121,11062,en
122,13685,es
123,13685,en
124,47475,en
125,2045,en
126,9614,en
127,688,en
128,11907,de
129,10874,en
130,89333,en
131,197,en
132,197,fr
133,197,la
134,103,en
135,103,es
136,33542,cn
137,33542,en
138,43566,de
139,43566,en
140,43566,fr
141,51352,en
142,16934,en
143,10324,en
144,10324,it
145,78406,en
146,32119,en
147,32119,fr
148,32119,de
149,11066,fr
150,11066,en
151,11104,cn
152,11104,en
153,11104,hi
154,2074,en
155,27793,en
156,27793,pt
157,290157,
158,110972,en
159,11863,en
160,9101,en
161,5757,en
162,9302,en
163,11000,en
164,11000,fr
165,16388,en
166,9737,en
167,30765,en
168,30765,zh
169,10474,en
170,22279,en
171,30157,en
172,568,en
173,11780,en
174,34996,en
175,414,en
176,649,fr
177,649,mn
178,649,es
179,1873,en
180,5894,en
181,1775,en
182,8839,en
183,20649,en
184,10329,en
185,10329,fr
186,8963,en
187,26564,en
188,8068,en
189,8512,en
190,1572,en
191,1572,de
192,1572,ro
193,13552,en
194,6520,en
195,6520,fr
196,9073,en
197,9073,id
198,9073,ms
199,10428,en
200,10428,it
201,10428,ja
202,17447,fr
203,17447,en
204,9886,en
205,9886,ja
206,9482,en
207,19326,en
208,9344,en
209,9071,en
210,8973,en
211,15730,en
212,47608,en
213,2293,en
214,9070,es
215,9070,en
216,48787,ru
217,48787,en
218,34574,en
219,34574,de
220,1642,en
221,1642,es
222,11472,en
223,11472,ru
224,36196,en
225,11980,en
226,58372,en
227,32646,en
228,32646,es
229,10533,en
230,10802,en
231,10149,en
232,18402,en
233,9348,en
234,281,en
235,5967,fr
236,47939,en
237,36834,en
238,9090,en
239,9090,es
240,3512,en
241,52856,en
242,77350,en
243,9560,en
244,9804,en
245,31611,en
246,65796,cn
247,65796,en
248,49805,en
249,26258,de
250,26258,en
251,50797,ru
252,19155,sq
253,19155,en
254,19155,fr
255,76,en
256,76,de
257,76,fr
258,11017,fr
259,11017,es
260,11017,en
261,37141,en
262,9382,en
263,6715,en
264,18256,en
265,18256,it
266,18256,sv
267,22625,en
268,2292,en
269,1909,en
270,8984,en
271,4954,en
272,62488,en
273,10531,en
274,11929,en
275,8467,en
276,10451,zh
277,20156,en
278,20156,he
279,18395,en
280,522,en
281,397,fr
282,397,en
283,10525,en
284,27985,en
285,15789,en
286,27303,en
287,21183,en
288,10954,fr
289,10954,en
290,10954,it
291,47867,en
292,14275,en
293,1024,en
294,17207,en
295,17207,ru
296,13701,en
297,14819,en
298,32631,en
299,32631,ja
300,32631,pt
301,11777,en
302,11777,de
303,628,en
304,628,fr
305,87729,en
306,18713,en
307,6280,en
308,9061,en
309,37108,en
310,6071,en
311,11,en
312,9587,en
313,9587,de
314,9587,fr
315,19101,en
316,19101,fr
317,49980,en
318,18183,en
319,18183,es
320,4476,kw
321,4476,en
322,11008,es
323,11008,en
324,32325,es
325,32325,en
326,43742,en
327,28313,en
328,11318,en
329,3036,en
330,40490,en
331,24070,en
332,8986,en
333,10510,en
334,17402,en
335,17402,hu
336,38722,es
337,38722,en
338,8438,en
339,11593,cs
340,11593,en
341,11593,hu
342,1945,en
343,39310,de
344,39310,en
345,109560,cn
346,109560,en
347,56428,en
348,131957,en
349,241,en
350,241,nv
351,241,ja
352,9058,en
353,527,en
354,527,mi
355,18220,en
356,6950,en
357,6950,ko
358,6950,fr
359,101,en
360,101,fr
361,101,it
362,63020,en
363,2307,en
364,680,en
365,680,es
366,680,fr
367,25296,zh
368,25296,en
369,40156,en
370,11450,en
371,30304,tl
372,30304,en
373,30304,ja
374,10452,fr
375,10452,it
376,12106,en
377,161495,en
378,3586,fr
379,3586,it
380,3586,ru
381,110,fr
382,108,fr
383,108,pl
384,109,pl
385,109,fr
386,109,hu
387,36357,en
388,92769,en
389,28033,en
390,22586,en
391,14334,en
392,14334,ga
393,2636,en
394,2164,en
395,2164,no
396,2164,sv
397,11395,en
398,278,en
399,9905,en
400,87078,en
401,12527,es
402,20306,en
403,36614,en
404,27993,de
405,27993,en
406,31439,kk
407,31439,zh
408,9067,en
409,9067,zh
410,9059,en
411,193,en
412,25066,en
413,46797,en
414,12122,en
415,11381,en
416,32636,en
417,36141,en
418,95963,en
419,1587,en
420,9271,en
421,2064,en
422,19855,en
423,60855,cn
424,60855,en
425,236,en
426,236,ja
427,48287,en
428,3049,en
429,2759,en
430,12635,ru
431,12635,hu
432,12635,de
433,10497,fr
434,10497,en
435,11382,en
436,9331,en
437,10731,en
438,10464,en
439,34152,en
440,34152,it
441,34152,es
442,9495,en
443,29973,en
444,888,en
445,13,en
446,712,en
447,16295,en
448,48992,en
449,48992,es
450,10879,en
451,10660,en
452,10714,en
453,41647,de
454,8587,en
455,1689,en
456,11596,en
457,854,sv
458,854,en
459,9359,en
460,23333,en
461,36593,en
462,12280,en
463,2788,en
464,10427,en
465,11011,en
466,11011,la
467,8987,en
468,1637,en
469,15128,en
470,8831,en
471,36955,en
472,36955,fr
473,36955,ar
474,10449,en
475,10449,vi
476,10395,en
477,12160,en
478,40480,en
479,52038,en
480,52038,la
481,29444,en
482,26352,en
483,39953,en
484,41580,fr
485,315,en
486,22067,en
487,11667,en
488,8011,en
489,171857,
490,2654,en
491,18069,en
492,18069,fr
493,19092,en
494,2758,en
495,10436,en
496,10436,it
497,13595,en
498,46094,en
499,9409,en
500,11853,es
501,11853,en
502,16771,es
503,16771,en
504,46924,gd
505,46924,en
506,11041,en
507,306,en
508,14522,en
509,26203,en
510,178,en
511,19819,en
512,57834,en
513,57834,fr
514,4722,en
515,18215,en
516,1607,en
517,1607,it
518,26391,en
519,117553,en
520,6075,en
521,6075,es
522,11310,en
523,18658,en
524,9350,en
525,9612,en
526,2124,en
527,26261,en
528,19176,en
529,11566,es
530,11566,en
531,9571,en
532,9739,en
533,34444,de
534,34444,en
535,26141,en
536,26141,yi
537,10997,zh
538,10443,en
539,20239,en
540,16297,en
541,18551,en
542,25440,en
543,9024,en
544,37233,en
545,1634,en
546,13815,en
547,5503,en
548,35588,en
549,35588,es
550,2087,en
551,41579,en
552,18620,en
553,2019,en
554,9255,en
555,26271,en
556,10612,en
557,10612,cy
558,2259,es
559,2259,en
560,16097,en
561,11934,en
562,106143,en
563,12475,en
564,9386,en
565,7984,en
566,59930,en
567,15765,en
568,31643,fr
569,31643,en
570,6,en
571,329,en
572,329,es
573,10909,en
574,507,en
575,507,fr
576,29918,en
577,9593,en
578,42580,en
579,22317,en
580,22317,de
581,22317,pl
582,1413,en
583,1413,zh
584,12121,en
585,2246,en
586,10502,en
587,10440,en
588,9516,en
589,2320,en
590,5879,ja
591,83718,en
592,11971,en
593,31911,en
594,788,en
595,21450,en
596,11231,en
597,10447,en
598,31586,en
599,9300,en
600,9300,fr
601,9300,ru
602,9559,en
603,9800,en
604,713,en
605,713,mi
606,8291,en
607,18133,en
608,25557,en
609,22588,en
610,10872,en
611,1245,en
612,11858,en
613,7007,ja
614,7007,en
615,10467,en
616,5550,en
617,5550,ja
618,8005,es
619,8005,en
620,2088,en
621,10412,pt
622,10412,de
623,10412,en
624,47889,en
625,14534,en
626,14534,es
627,41878,fr
628,41878,es
629,424,de
630,424,pl
631,424,he
632,35233,en
633,35233,it
634,14291,en
635,11236,en
636,11592,en
637,8850,en
638,10445,en
639,10445,de
640,695,en
641,43535,en
642,12519,en
643,23210,en
644,858,en
645,867,en
646,78,en
647,78,de
648,78,cn
649,13203,en
650,10442,ru
651,10442,en
652,11074,en
653,9607,en
654,17585,en
655,9057,en
656,9057,ru
657,20967,en
658,20967,fr
659,20967,de
660,10635,en
661,9479,en
662,10057,en
663,11969,la
664,11969,en
665,319,en
666,319,it
667,26408,en
668,15139,en
669,11446,en
670,11446,hu
671,51980,fr
672,24405,en
673,8223,es
674,14587,en
675,14587,hi
676,31504,en
677,31504,pt
678,23637,it
679,17600,en
680,10897,en
681,21352,en
682,68806,it
683,37345,en
684,32562,de
685,32562,en
686,25403,ar
687,25403,en
688,25403,it
689,9066,en
690,771,en
691,251,en
692,812,en
693,280,en
694,280,es
695,581,en
696,268,en
697,268,fr
698,274,en
699,408,en
700,10020,fr
701,10020,en
702,10895,en
703,114,en
704,576,en
705,576,de
706,576,es
707,15477,en
708,124472,
709,7300,en
710,7300,es
711,10824,en
712,10824,pl
713,275,en
714,25059,en
715,11827,en
716,11827,hu
717,8766,en
718,23570,en
719,47333,fr
720,47333,en
721,51242,en
722,51242,de
723,51242,el
724,10112,en
725,4307,es
726,46029,en
727,32308,en
728,28121,en
729,12520,en
730,1592,en
731,1592,es
732,19042,en
733,38884,en
734,38884,es
735,38884,ca
736,47449,en
737,36259,en
738,41852,en
739,40926,en
740,9099,en
741,2021,en
742,61752,en
743,10988,en
744,10988,it
745,12652,fr
746,10684,en
747,954,en
748,954,fr
749,954,cs
750,68445,en
751,68445,de
752,68445,is
753,18989,en
754,8840,en
755,11107,en
756,10539,en
757,10543,en
758,18414,en
759,11902,de
760,11902,fr
