user_id,mid,tag,timestamp
2,12133,funny,1445714994
2,12133,Highly quotable,1445714996
2,12133,will ferrell,1445714992
62,12133,comedy,1528934384
62,12133,funny,1528934381
62,12133,will ferrell,1528934379
424,12133,funny,1457846127
424,12133,will ferrell,1457846129
2,59440,Boxing story,1445715207
2,59440,MMA,1445715200
2,59440,Tom Hardy,1445715205
2,106646,drugs,1445715054
2,106646,Leonardo DiCaprio,1445715051
2,106646,Martin Scorsese,1445715056
537,106646,Stock Market,1424142693
537,106646,Wall Street,1424142688
7,1422,way too long,1169687325
357,1422,Leonardo DiCaprio,1348627149
357,1422,suspense,1348627152
357,1422,twist ending,1348627154
357,1422,undercover cop,1348627156
424,1422,atmospheric,1457843188
424,1422,Jack Nicholson,1457843173
424,1422,Leonardo DiCaprio,1457843178
424,1422,Martin Scorsese,1457843176
424,1422,suspense,1457843184
18,6075,Al Pacino,1462138765
18,6075,gangster,1462138749
18,6075,mafia,1462138755
18,240,Al Pacino,1461699306
18,240,Mafia,1461699303
474,240,Mafia,1137181066
18,423,holocaust,1455735472
18,423,true story,1455735479
474,423,Holocaust,1137181562
18,186,twist ending,1456948283
18,6145,Anthony Hopkins,1457650696
18,6145,courtroom drama,1457650711
18,6145,twist ending,1457650682
18,64780,britpop,1457444500
18,64780,indie record label,1457444592
18,64780,music,1457444609
18,259985,dumpster diving,1455060381
18,259985,Sustainability,1455060452
21,8874,romantic comedy,1419805413
21,8874,wedding,1419805419
474,8874,weddings,1138031775
21,87093,painter,1419805477
21,228967,bloody,1419793962
62,228967,bromance,1525555146
62,228967,comedy,1525555138
62,228967,funny,1525555129
62,228967,James Franco,1525555132
62,228967,Seth Rogen,1525555127
49,157336,black hole,1493093306
49,157336,sci-fi,1493093332
49,157336,time-travel,1493093356
424,157336,Christopher Nolan,1457901805
424,157336,sci-fi,1457901808
424,157336,time-travel,1457901811
567,157336,bad dialogue,1525287562
567,157336,philosophical issues,1525287571
567,157336,thought-provoking,1525287567
567,157336,visually appealing,1525287559
62,8844,fantasy,1528843929
62,8844,magic board game,1528843932
62,8844,Robin Williams,1528843907
474,8844,game,1137375552
62,197,beautiful scenery,1528152541
62,197,epic,1528152532
62,197,historical,1528152523
62,197,inspirational,1528152527
62,197,Medieval,1528152528
62,197,mel gibson,1528152521
62,197,Oscar (Best Cinematography),1528152539
62,197,revenge,1528152531
62,197,sword fight,1528152535
474,197,Scotland,1137180974
62,2758,black comedy,1525636607
62,2758,Christina Ricci,1525636685
62,2758,Christopher Lloyd,1525636622
62,2758,dark comedy,1525636610
62,2758,family,1525636708
62,2758,gothic,1525636609
62,242,Al Pacino,1525636728
62,242,Andy Garcia,1525636768
62,242,Classic,1525636752
62,242,Francis Ford Coppola,1525636752
62,242,mafia,1525636733
62,2907,black comedy,1525636847
62,2907,Christina Ricci,1525636867
62,2907,Christopher Lloyd,1525636859
62,2907,Family,1525636855
62,2907,gothic,1525636849
62,2907,quirky,1525636846
62,772,family,1525636883
62,772,funny,1525636885
62,772,Macaulay Culkin,1525636890
62,772,sequel,1525636887
62,863,animation,1525636903
62,863,Disney,1525636902
62,863,funny,1525636913
62,863,original,1525636917
62,863,Pixar,1525636901
62,863,sequel,1525636910
62,863,Tom Hanks,1525636925
474,863,Pixar,1138032529
62,98,ancient Rome,1528152504
62,98,Epic,1528152469
62,98,history,1528152467
62,98,imdb top 250,1528152498
62,98,revenge,1528152496
62,98,Rome,1528152463
62,98,Russell Crowe,1528152465
606,98,Romans,1173212944
62,853,Ed Harris,1528024869
62,853,Jude Law,1528024854
62,853,Rachel Weisz,1528024873
62,853,sniper,1528024852
62,853,World War II,1528024877
62,320,Al Pacino,1530310809
62,320,atmospheric,1530310959
62,320,Hilary Swank,1530310952
62,320,Robin Williams,1530310811
184,320,atmospheric,1537094680
184,320,insomnia,1537094688
184,320,thought-provoking,1537094685
62,9358,sequel,1525555053
62,9358,violent,1525555051
62,1927,dogs,1525554096
62,1927,Eric Bana,1525554086
62,1927,mad scientist,1525554098
62,1927,marvel,1525554100
62,8698,captain nemo,1525554054
62,8698,comic book,1525554028
62,8698,gothic,1525554056
62,8698,Peta Wilson,1525554040
62,8698,Sean Connery,1525554026
62,8698,superhero,1525554051
62,1996,adventure,1525554439
62,1996,Angelina Jolie,1525554432
62,1996,heroine in tight suit,1525554441
62,122,Adventure,1528152558
62,122,ensemble cast,1528152578
62,122,fantasy,1528152556
62,122,fantasy world,1528152571
62,122,great soundtrack,1528152575
62,122,lord of the rings,1528152581
62,122,scenic,1528152580
62,122,stylized,1528152577
62,122,Tolkien,1528152561
474,122,Tolkein,1137181217
62,8699,hilarious,1526249138
62,8699,Steve Carell,1526249156
62,8699,Will Ferrell,1526249135
305,8699,stupid,1520707078
327,8699,awesome,1234789177
424,8699,comedy,1457846537
424,8699,Will Ferrell,1457846533
62,55931,animation,1525554490
62,55931,anime,1525554488
62,55931,cyberpunk,1525554486
62,55931,dark,1525554500
62,55931,Matrix,1525554493
62,55931,sci-fi,1525554491
62,11774,dark comedy,1526248598
62,11774,Jim Carrey,1526248575
62,11774,meryl streep,1526248580
62,11774,quirky,1526248553
62,11774,stylized,1526248601
