mid,language_id
862,ar
862,be
862,bg
862,bs
862,cs
862,da
862,de
862,el
862,en
862,es
862,es
862,et
862,fa
862,fi
862,fr
862,fr
862,he
862,hr
862,hu
862,is
862,it
862,ja
862,ka
862,ko
862,lt
862,lv
862,nb
862,nl
862,no
862,pl
862,pt
862,pt
862,ro
862,ru
862,sk
862,sl
862,sr
862,sv
862,th
862,tr
862,uk
862,uz
862,vi
862,zh
862,zh
862,zh
8844,ar
8844,bg
8844,ca
8844,cs
8844,da
8844,de
8844,el
8844,en
8844,es
8844,es
8844,fi
8844,fr
8844,fr
8844,he
8844,hu
8844,it
8844,ja
8844,ko
8844,lt
8844,lv
8844,nl
8844,no
8844,pl
8844,pt
8844,pt
8844,ru
8844,sk
8844,sl
8844,sr
8844,sv
8844,th
8844,tr
8844,uk
8844,uz
8844,vi
8844,zh
8844,zh
8844,zh
15602,bg
15602,cs
15602,da
15602,de
15602,el
15602,en
15602,es
15602,es
15602,fr
15602,hu
15602,it
15602,ko
15602,lt
15602,nl
15602,pl
15602,pt
15602,pt
15602,ro
15602,ru
15602,sk
15602,sv
15602,tr
15602,uk
15602,zh
31357,bg
31357,cs
31357,de
31357,en
31357,es
31357,fi
31357,fr
31357,he
31357,hu
31357,it
31357,nl
31357,pt
31357,pt
31357,sv
11862,bg
11862,cs
11862,da
11862,de
11862,el
11862,en
11862,es
11862,es
11862,fi
11862,fr
11862,he
11862,hu
11862,it
11862,ja
11862,ko
11862,lt
11862,nl
11862,no
11862,pl
11862,pt
11862,pt
11862,ro
11862,ru
11862,sk
11862,sv
11862,tr
11862,uk
11862,zh
949,ar
949,bg
949,cs
949,da
949,de
949,el
949,en
949,es
949,es
949,et
949,fa
949,fi
949,fr
949,fr
949,he
949,hr
949,hu
949,id
949,it
949,ja
949,ko
949,lt
949,nl
949,no
949,pl
949,pt
949,pt
949,ro
949,ru
949,sk
949,sl
949,sr
949,sv
949,th
949,tr
949,uk
949,vi
949,zh
949,zh
11860,bg
11860,cs
11860,da
11860,de
11860,el
11860,en
11860,es
11860,es
11860,fr
11860,he
11860,hu
11860,it
11860,ja
11860,ko
11860,lt
11860,nl
11860,no
11860,pl
11860,pt
11860,pt
11860,ru
11860,sk
11860,sv
11860,tr
11860,uk
11860,zh
11860,zh
45325,bg
45325,de
45325,el
45325,en
45325,es
45325,fr
45325,it
45325,nl
45325,pt
45325,ru
45325,sv
45325,uk
45325,zh
9091,bg
9091,cs
9091,da
9091,de
9091,el
9091,en
9091,es
9091,es
9091,fi
9091,fr
9091,he
9091,hu
9091,it
9091,ja
9091,ko
9091,lt
9091,nl
9091,pl
9091,pt
9091,pt
9091,ru
9091,sk
9091,sv
9091,tr
9091,uk
9091,zh
710,ar
710,bg
710,bn
710,ca
710,cs
710,da
710,de
710,el
710,en
710,es
710,es
710,et
710,fa
710,fi
710,fr
710,fr
710,he
710,hr
710,hu
710,it
710,ja
710,ko
710,lt
710,lv
710,nl
710,no
710,pl
710,pt
710,pt
710,ro
710,ru
710,sk
710,sl
710,sr
710,sv
710,th
710,tr
710,uk
710,vi
710,zh
710,zh
710,zh
9087,bg
9087,cs
9087,da
9087,de
9087,el
9087,en
9087,es
9087,fi
9087,fr
9087,he
9087,hu
9087,it
9087,ja
9087,ka
9087,ko
9087,nl
9087,pt
9087,pt
9087,ro
9087,ru
9087,sk
9087,sv
9087,tr
9087,uk
9087,vi
9087,zh
9087,zh
12110,bg
12110,cs
12110,da
12110,de
12110,el
12110,en
12110,es
12110,es
12110,fi
12110,fr
12110,he
12110,hu
12110,it
12110,ko
12110,nl
12110,pl
12110,pt
12110,pt
12110,ru
12110,sk
12110,sv
12110,uk
21032,be
21032,bg
21032,ca
21032,cs
21032,da
21032,de
21032,en
21032,es
21032,es
21032,eu
21032,fi
21032,fr
21032,fr
21032,he
21032,hu
21032,it
21032,ko
21032,nl
21032,no
21032,pl
21032,pt
21032,pt
21032,ru
21032,sk
21032,sv
21032,tr
21032,uk
21032,zh
10858,bg
10858,cs
10858,de
10858,en
10858,es
10858,fr
10858,he
10858,hu
10858,it
10858,ja
10858,ko
10858,nl
10858,no
10858,pl
10858,pt
10858,pt
10858,ru
10858,sr
10858,sv
10858,tr
10858,uk
10858,zh
1408,bg
1408,cs
1408,da
1408,de
1408,el
1408,en
1408,es
1408,es
1408,fa
1408,fi
1408,fr
1408,fr
1408,he
1408,hu
1408,it
1408,ko
1408,nl
1408,no
1408,pl
1408,pt
1408,pt
1408,ru
1408,sv
1408,tr
1408,uk
1408,zh
524,ar
524,bg
524,cs
524,da
524,de
524,el
524,en
524,es
524,es
524,fa
524,fi
524,fr
524,he
524,hu
524,it
524,ja
524,ko
524,lt
524,nl
524,no
524,pl
524,pt
524,pt
524,ro
524,ru
524,sk
524,sr
524,sv
524,th
524,tr
524,uk
524,uz
524,vi
524,zh
524,zh
524,zh
4584,bg
4584,cs
4584,da
4584,de
4584,el
4584,en
4584,es
4584,es
4584,fi
4584,fr
4584,he
4584,hu
4584,it
4584,ja
4584,ko
4584,lt
4584,nl
4584,pl
4584,pt
4584,pt
4584,ru
4584,sv
4584,tr
4584,uk
4584,zh
4584,zh
4584,zh
5,bg
5,cs
5,da
5,de
5,el
5,en
5,es
5,es
5,fi
5,fr
5,he
5,hu
5,it
5,ja
5,ka
5,ko
5,lt
5,nl
5,pl
5,pt
5,pt
5,ro
5,ru
5,sk
5,sv
5,tr
5,uk
5,zh
9273,bg
9273,cs
9273,da
9273,de
9273,el
9273,en
9273,es
9273,es
9273,fi
9273,fr
9273,fr
9273,he
9273,hi
9273,hr
9273,hu
9273,it
9273,ja
9273,ko
9273,lt
9273,lv
9273,nl
9273,no
9273,pl
9273,pt
9273,pt
9273,ro
9273,ru
9273,sk
9273,sl
9273,sr
9273,sv
9273,th
9273,tr
9273,uk
9273,zh
9273,zh
9273,zh
11517,bg
11517,cs
11517,da
11517,de
11517,el
11517,en
11517,es
11517,es
11517,fi
11517,fr
11517,fr
11517,he
11517,hu
11517,it
11517,ja
11517,ko
11517,lt
11517,nl
11517,no
11517,pl
11517,pt
11517,pt
11517,ru
11517,sv
11517,tr
11517,uk
11517,zh
11517,zh
8012,bg
8012,cs
8012,da
8012,de
8012,el
8012,en
8012,es
8012,es
8012,fr
8012,fr
8012,he
8012,hu
8012,it
8012,ja
8012,ko
8012,lt
8012,nl
8012,pl
8012,pt
8012,pt
8012,ro
8012,ru
8012,sk
8012,sv
8012,tr
8012,uk
8012,zh
8012,zh
1710,bg
1710,cs
1710,da
1710,de
1710,en
1710,es
1710,fr
1710,he
1710,hu
1710,it
1710,ko
1710,lt
1710,nl
1710,pl
1710,pt
1710,pt
1710,ro
1710,ru
1710,sk
1710,sv
1710,tr
1710,uk
1710,vi
1710,zh
9691,bg
9691,cs
9691,da
9691,de
9691,el
9691,en
9691,es
9691,es
9691,fi
9691,fr
9691,fr
9691,he
9691,hu
9691,it
9691,ja
9691,ko
9691,lt
9691,nl
9691,pl
9691,pt
9691,pt
9691,ro
9691,ru
9691,sk
9691,sv
9691,th
9691,tr
9691,uk
9691,zh
9691,zh
12665,cs
12665,de
12665,el
12665,en
12665,es
12665,es
12665,fr
12665,he
12665,hu
12665,it
12665,ko
12665,nl
12665,pt
12665,pt
12665,ru
12665,sv
12665,tr
12665,zh
451,bg
451,cs
451,da
451,de
451,el
451,en
451,es
451,es
451,fa
451,fi
451,fr
451,fr
451,he
451,hu
451,it
451,ja
451,ko
451,nb
451,nl
451,no
451,pl
451,pt
451,pt
451,ro
451,ru
451,sk
451,sv
451,tr
451,uk
451,zh
451,zh
16420,cs
16420,da
16420,de
16420,en
16420,es
16420,fr
16420,hu
16420,it
16420,ko
16420,nl
16420,ru
16420,uk
9263,cs
9263,de
9263,en
9263,es
9263,fr
9263,hu
9263,it
9263,ko
9263,nl
9263,pl
9263,pt
9263,ru
9263,uk
17015,cs
17015,de
17015,en
17015,es
17015,fr
17015,he
17015,it
17015,ko
17015,pt
902,bg
902,ca
902,cs
902,da
902,de
902,el
902,en
902,es
902,es
902,fr
902,fr
902,he
902,hu
902,it
902,ko
902,nl
902,pl
902,pt
902,pt
902,ru
902,sv
902,tr
902,uk
902,zh
902,zh
37557,bg
37557,de
37557,el
37557,en
37557,es
37557,fr
37557,hu
37557,it
37557,ja
37557,ko
37557,nl
37557,pt
37557,tr
37557,vi
37557,zh
37557,zh
9909,bg
9909,cs
9909,da
9909,de
9909,el
9909,en
9909,es
9909,es
9909,fr
9909,fr
9909,he
9909,hu
9909,it
9909,ko
9909,lt
9909,nl
9909,pl
9909,pt
9909,pt
9909,ro
9909,ru
9909,sv
9909,tr
9909,zh
63,bg
63,cs
63,da
63,de
63,ee
63,el
63,en
63,es
63,es
63,et
63,fa
63,fi
63,fr
63,fr
63,he
63,hr
63,hu
63,it
63,ja
63,ko
63,lt
63,nb
63,nl
63,no
63,pl
63,pt
63,pt
63,ro
63,ru
63,si
63,sk
63,sl
63,sr
63,sv
63,tr
63,uk
63,vi
63,zh
63,zh
9598,bg
9598,ca
9598,cs
9598,da
9598,de
9598,el
9598,en
9598,es
9598,es
9598,fi
9598,fr
9598,fr
9598,he
9598,hu
9598,it
9598,ja
9598,ko
9598,nl
9598,pl
9598,pt
9598,pt
9598,ru
9598,sk
9598,sv
9598,th
9598,tr
9598,uk
9598,zh
687,bg
687,cs
687,da
687,de
687,el
687,en
687,es
687,es
687,fr
687,he
687,hu
687,it
687,ja
687,ko
687,nl
687,pl
687,pt
687,pt
687,ru
687,sk
687,sr
687,sv
687,th
687,tr
687,uk
687,zh
33689,bg
33689,cs
33689,de
33689,el
33689,en
33689,es
33689,es
33689,fi
33689,fr
33689,fr
33689,he
33689,hu
33689,it
33689,ko
33689,nl
33689,pl
33689,pt
33689,pt
33689,ro
33689,ru
33689,sk
33689,tr
33689,uk
33689,zh
9603,bg
9603,cs
9603,da
9603,de
9603,el
9603,en
9603,es
9603,es
9603,fi
9603,fr
9603,fr
9603,he
9603,hu
9603,it
9603,ko
9603,nl
9603,pl
9603,pt
9603,pt
9603,ro
9603,ru
9603,sk
9603,sr
9603,sv
9603,tr
9603,uk
9603,zh
34615,en
34615,es
34615,it
34615,pt
31174,bg
31174,da
31174,de
31174,el
31174,en
31174,es
31174,fr
31174,hu
31174,it
31174,ja
31174,ko
31174,nl
31174,pl
31174,pt
31174,pt
31174,ru
31174,tr
31174,zh
11443,bg
11443,da
11443,de
11443,en
11443,es
11443,fi
11443,fr
11443,he
11443,hu
11443,it
11443,ko
11443,nl
11443,pl
11443,pt
11443,ru
11443,sv
11443,zh
35196,bg
35196,cs
35196,de
35196,el
35196,en
35196,es
35196,fr
35196,he
35196,hu
35196,it
35196,ja
35196,ko
35196,pt
35196,ru
35196,uk
35196,zh
9312,bg
9312,cs
9312,da
9312,de
9312,el
9312,en
9312,es
9312,es
9312,fr
9312,fr
9312,he
9312,hu
9312,it
9312,ja
9312,ko
9312,nl
9312,no
9312,pl
9312,pt
9312,pt
9312,ru
9312,sk
9312,sv
9312,tr
9312,uk
9312,vi
9312,zh
577,ar
577,bg
577,ca
577,da
577,de
577,el
577,en
577,es
577,es
577,fi
577,fr
577,fr
577,he
577,hu
577,it
577,ko
577,lt
577,nl
577,no
577,pl
577,pt
577,pt
577,ro
577,ru
577,sl
577,sr
577,sv
577,tr
577,uk
577,zh
11861,bg
11861,de
11861,el
11861,en
11861,es
11861,fr
11861,he
11861,hu
11861,it
11861,ko
11861,pl
11861,pt
11861,ru
11861,sv
11861,zh
807,ar
807,bg
807,cs
807,da
807,de
807,el
807,en
807,es
807,es
807,fa
807,fi
807,fr
807,fr
807,he
807,hr
807,hu
807,it
807,ja
807,ka
807,ko
807,lt
807,nb
807,nl
807,no
807,pl
807,pt
807,pt
807,ro
807,ru
807,sk
807,sl
807,sr
807,sv
807,th
807,tr
807,uk
807,vi
807,zh
807,zh
807,zh
10530,ar
10530,bg
10530,cs
10530,da
10530,de
10530,el
10530,en
10530,es
10530,es
10530,fa
10530,fi
10530,fr
10530,fr
10530,he
10530,hu
10530,it
10530,ja
10530,ko
10530,lt
10530,nb
10530,nl
10530,no
10530,pl
10530,pt
10530,pt
10530,ro
10530,ru
10530,sk
10530,sr
10530,sv
10530,th
10530,tr
10530,uk
10530,vi
10530,zh
10530,zh
10530,zh
8391,de
8391,el
8391,en
8391,es
8391,fr
8391,he
8391,it
8391,pt
8391,ru
8391,tr
8391,zh
629,ar
629,bg
629,cs
629,da
629,de
629,el
629,en
629,es
629,es
629,fa
629,fi
629,fr
629,fr
629,he
629,hr
629,hu
629,it
629,ja
629,ko
629,lt
629,nb
629,nl
629,no
629,pl
629,pt
629,pt
629,ro
629,ru
629,sk
629,sl
629,sr
629,sv
629,th
629,tr
629,uk
629,vi
629,zh
629,zh
629,zh
11448,ca
11448,cs
11448,de
11448,el
11448,en
11448,es
11448,es
11448,fi
11448,fr
11448,he
11448,hu
11448,it
11448,ja
11448,ko
11448,nl
11448,pl
11448,pt
11448,pt
11448,ru
11448,tr
11448,zh
49133,de
49133,en
49133,es
49133,hu
49133,it
49133,pt
49133,tr
49133,zh
26441,de
26441,el
26441,en
26441,es
26441,fr
26441,he
26441,it
26441,nl
26441,pt
26441,ru
97406,de
97406,en
97406,ja
97406,ko
97406,pt
97406,ru
97406,sv
9089,cs
9089,da
9089,de
9089,el
9089,en
9089,es
9089,fr
9089,he
9089,hu
9089,it
9089,ko
9089,nl
9089,pt
9089,ru
9089,zh
9089,zh
11010,bg
11010,da
11010,de
11010,el
11010,en
11010,es
11010,fr
11010,hu
11010,it
11010,ja
11010,ko
11010,nl
11010,pl
11010,pt
11010,pt
11010,ro
11010,ru
11010,sv
11010,tr
11010,uk
11010,zh
11359,da
11359,de
11359,en
11359,es
11359,es
11359,fr
11359,he
11359,hu
11359,it
11359,ko
11359,nl
11359,pl
11359,pt
11359,pt
11359,ru
11359,sk
11359,sv
11359,uk
11359,zh
17182,bg
17182,cs
17182,da
17182,de
17182,en
17182,es
17182,es
17182,fr
17182,fr
17182,hu
17182,it
17182,ko
17182,nl
17182,pl
17182,pt
17182,pt
17182,ru
17182,sv
17182,zh
2054,bg
2054,cs
2054,da
2054,de
2054,en
2054,es
2054,fr
2054,he
2054,hu
2054,it
2054,ja
2054,ko
2054,lt
2054,nl
2054,pl
2054,pt
2054,pt
2054,ru
2054,tr
2054,uk
2054,zh
10607,cs
10607,da
10607,de
10607,el
10607,en
10607,es
10607,es
10607,fr
10607,he
10607,hu
10607,it
10607,lt
10607,nl
10607,pl
10607,pt
10607,pt
10607,ru
10607,sk
10607,sl
10607,sr
10607,sv
10607,tr
10607,uk
10607,zh
19760,bg
19760,cs
19760,de
19760,en
19760,es
19760,fr
19760,hu
19760,it
19760,ko
19760,nl
19760,pl
19760,pt
19760,ru
19760,zh
9536,bg
9536,da
9536,de
9536,en
9536,es
9536,es
9536,fr
9536,hu
9536,it
9536,nl
9536,pl
9536,pt
9536,pt
9536,ru
9536,uk
9536,zh
11525,cs
11525,de
11525,el
11525,en
11525,es
11525,es
11525,fr
11525,he
11525,hu
11525,it
11525,ko
11525,nl
11525,pl
11525,pt
11525,ru
11525,tr
4482,de
4482,el
4482,en
4482,es
4482,fr
4482,it
4482,nl
4482,pt
4482,pt
4482,ru
10634,ar
10634,bg
10634,cs
10634,da
10634,de
10634,el
10634,en
10634,es
10634,es
10634,fr
10634,he
10634,hu
10634,it
10634,ko
10634,nl
10634,no
10634,pl
10634,pt
10634,pt
10634,ro
10634,ru
10634,sl
10634,sr
10634,sv
10634,tr
10634,uk
10634,zh
755,bg
755,ca
755,cs
755,da
755,de
755,el
755,en
755,es
755,es
755,fa
755,fi
755,fr
755,fr
755,he
755,hu
755,it
755,ja
755,ko
755,lt
755,nl
755,pl
755,pt
755,pt
755,ro
755,ru
755,sk
755,sv
755,tr
755,uk
755,zh
755,zh
11859,bg
11859,cs
11859,da
11859,de
11859,el
11859,en
11859,es
11859,es
11859,fr
11859,fr
11859,he
11859,hu
11859,it
11859,ja
11859,ko
11859,nl
11859,pl
11859,pt
11859,pt
11859,ru
11859,sv
11859,tr
11859,zh
28387,el
28387,en
28387,es
28387,he
28387,hu
28387,it
28387,ko
28387,nl
28387,pl
28387,sv
28387,zh
48750,cs
48750,de
48750,en
48750,es
48750,fr
48750,he
48750,hu
48750,it
48750,pt
48750,pt
48750,ru
48750,uk
20927,bg
20927,cs
20927,de
20927,en
20927,es
20927,fr
