user_id,openness,agreeableness,emotional_stability,conscientiousness,extraversion
8e7cebf9a234c064b75016249f2ac65e,5,2,3,2.5,6.5
77c7d756a093150d4377720abeaeef76,7,4,6,5.5,4
b7e8a92987a530cc368719a0e60e26a3,4,3,4.5,2,2.5
92561f21446e017dd6b68b94b23ad5b7,5.5,5.5,4,4.5,4
030001ac2145a938b07e686a35a2d638,5.5,5.5,3.5,4.5,2.5
f91b2fb085d0feb47b86fc81b10207ee,6,3,4,3.5,1.5
f7b0502be8c86203ce6acaffe59f993a,4.5,4,6,5,4
36f31ef9879b4de96977aeba94878581,5.5,4.5,6,3,4
653bb2f69ddd19e1cf1f9e1871916d71,5,5,5,5,3
89d365a0d0f1a80ae8d079079a078155,6,6.5,2,2.5,3
4d92401ed253aab37fa28a68d5d24d87,6.5,6.5,7,5.5,6.5
875afaef12d7872b644948db1bb3040a,2.5,6.5,7,7,4
2507e0e5af7f4c6bef436c8cd0e90bc3,6.5,4,2.5,6,4
7500db258d55789ef86cbb29ffcb2016,7,3,2,3,1.5
4d9071f72df26fe1d04196c8c6bb126e,5.5,5,6.5,5.5,6
67fc933eadbe711d020d3f3c2136b087,6,4,6,3,6
a258fd42676ec2550796eeb1b0028ea0,5.5,3.5,3,6.5,2.5
e0ae9890c58fcfe19c89b45f5871add2,5.5,6,4,3.5,1.5
0c6e74d0739fb94e2f3c8e5605497bbd,6.5,4,3.5,3.5,4.5
b6a8cb7e55cbf2c1bde7f2b252203272,5.5,2,2.5,6,2.5
7211a6a66a5fc549e2d74dacfbb555b2,5.5,4,5.5,4.5,4.5
2d274b0dd0a7fe38bb172aed02270a7c,6.5,5,5.5,5,5.5
428db88497a65655feb825365ad29a4a,7,4,5,5,3.5
32babaf7d63853c83739e371efba6929,5,4,2,2.5,1.5
183a0f30268fa6fda7b3609f8bcf0f44,6.5,2.5,3.5,5.5,4
eefef5e8659f07c7ca44b300d51559d6,5,4,5.5,3.5,4.5
838c3893b7166571c97e796dcaf456d7,6,4,5.5,4,3.5
79a402185248690bdee40163a140fde4,5,4,5,4.5,2
56e60808b468eb5f0845616fe2714974,4.5,5,5,5,3
78dca3ab3acdb0ad101245e95332ac68,6,3.5,6,4,3.5
10ee6ea6bfb79401fc78e92deba3d2ff,5,3.5,3.5,5,2
dd9a68f52fd23e04592bdf08af807371,5.5,4.5,4.5,5.5,2
c2daea04f1d84f2aa999c92200ec0222,6.5,4,4.5,4,2.5
fb6cc72fc2af933f3c6808fb9a6676c3,4.5,5,3.5,4,2.5
ef94eddb28db4edca56013331b5dec8e,5.5,4,3.5,5.5,4
d99db273e834f955834ba6ef2a2b60bd,4.5,3,5.5,7,2.5
cacdd140e39b8f7d9cd5c34781ab1c7c,4.5,3.5,3.5,3,4
e7c8485a3bb3eab91465cc76dcbd4748,6.5,3.5,4.5,3,6.5
e11b65eb0dcb3c57eef5ebd096a5fd6a,6.5,3,5,5.5,2.5
8bb877fc4d206e9633f41afcf6f434da,4.5,3.5,2.5,5,1.5
4889e49b9f9ee173d10403b1bbcdf807,7,5,6,6.5,5.5
977f6a958c559679b9dca86180611d47,4,2.5,4,4.5,3
485945b55ab3de6f0b9310efc3f6df6a,7,3,7,7,1.5
